commune,YearMonth,n_households,FCS,HDDS_24hr,HHS,rCSI1
1,2018-08,145,14.27659574468085,1.5241379310344827,3.386206896551724,15.441379310344828
1,2018-09,141,29.20567375886525,2.1914893617021276,2.2056737588652484,18.886524822695037
1,2018-10,124,31.669354838709676,2.370967741935484,1.5403225806451613,20.120967741935484
1,2018-11,140,23.84285714285714,1.9285714285714286,2.3,16.15714285714286
1,2018-12,65,22.923076923076923,1.8615384615384616,2.5538461538461537,11.476923076923077
1,2019-01,115,26.269565217391303,2.6869565217391305,0.30434782608695654,5.834782608695652
1,2019-02,142,20.823943661971832,1.7253521126760563,2.535211267605634,17.619718309859156
1,2019-03,144,24.229166666666668,2.0347222222222223,1.7361111111111112,17.006944444444443
1,2019-04,142,23.887323943661972,1.823943661971831,1.556338028169014,16.732394366197184
1,2019-05,143,29.034965034965033,2.062937062937063,1.3006993006993006,15.202797202797203
1,2019-06,144,33.736111111111114,2.4166666666666665,0.6041666666666666,8.909722222222221
1,2019-07,141,34.737588652482266,2.978723404255319,0.3900709219858156,8.815602836879433
1,2019-10,142,32.34285714285714,2.2357142857142858,0.16901408450704225,7.549295774647887
1,2019-11,130,38.66153846153846,3.3615384615384616,0.2846153846153846,7.2615384615384615
1,2019-12,135,36.39259259259259,2.8518518518518516,0.2962962962962963,4.807407407407408
1,2020-01,138,28.528985507246375,2.101449275362319,0.21014492753623187,7.398550724637682
1,2020-02,137,30.744525547445257,2.605839416058394,0.11678832116788321,5.2700729927007295
1,2020-03,138,28.8768115942029,2.369565217391304,0.057971014492753624,1.681159420289855
1,2020-04,133,29.654135338345863,1.9774436090225564,0.21052631578947367,1.7669172932330828
1,2020-05,138,29.86231884057971,2.217391304347826,0.2536231884057971,1.2318840579710144
1,2020-06,134,24.87313432835821,1.6044776119402986,0.3656716417910448,1.3059701492537314
1,2020-07,141,24.411347517730498,1.8085106382978724,0.1773049645390071,1.1134751773049645
1,2020-08,135,26.022222222222222,2.3333333333333335,0.08148148148148149,1.037037037037037
1,2020-09,124,28.483870967741936,2.5403225806451615,0.16129032258064516,1.3951612903225807
1,2020-10,138,26.615942028985508,2.5579710144927534,0.6086956521739131,2.6231884057971016
1,2020-11,137,29.1021897810219,2.072992700729927,0.7664233576642335,4.102189781021898
1,2020-12,139,33.97841726618705,3.079136690647482,0.7194244604316546,3.9280575539568345
1,2021-01,139,23.035971223021583,1.9640287769784173,3.064748201438849,6.0359712230215825
1,2021-02,132,29.439393939393938,2.742424242424242,2.8636363636363638,5.136363636363637
1,2021-03,139,33.60431654676259,2.985611510791367,0.02158273381294964,0.8848920863309353
1,2021-05,136,41.36764705882353,2.860294117647059,0.5955882352941176,2.5588235294117645
1,2021-06,141,43.04255319148936,2.7872340425531914,0.0,0.2127659574468085
1,2021-07,124,47.145161290322584,2.975806451612903,0.024193548387096774,0.8870967741935484
1,2021-08,139,48.05035971223022,3.1079136690647484,0.0,0.7482014388489209
1,2021-09,144,44.513888888888886,3.4652777777777777,0.0,0.9513888888888888
1,2021-10,141,37.57446808510638,2.879432624113475,0.02127659574468085,1.2269503546099292
1,2021-11,134,35.082089552238806,2.4477611940298507,0.06716417910447761,2.3134328358208953
1,2021-12,40,31.975,3.175,0.0,2.0
1,2022-01,38,26.763157894736842,2.526315789473684,2.4473684210526314,11.81578947368421
1,2022-02,70,35.885714285714286,3.2142857142857144,0.21428571428571427,2.157142857142857
2,2018-08,66,12.63076923076923,1.5606060606060606,4.03030303030303,13.136363636363637
2,2018-09,66,20.242424242424242,1.4545454545454546,4.303030303030303,14.075757575757576
2,2018-10,66,19.363636363636363,1.4696969696969697,3.803030303030303,16.03030303030303
2,2018-11,64,22.84375,2.15625,1.96875,12.46875
2,2018-12,54,21.38888888888889,1.7592592592592593,4.074074074074074,22.444444444444443
2,2019-01,60,21.066666666666666,2.0,3.4833333333333334,22.25
2,2019-02,65,19.23076923076923,1.4307692307692308,2.753846153846154,16.323076923076922
