commune,YearMonth,ndvi,PC1_Score
3,2018-11,0.3741546548516892,-0.242606390567463
3,2018-12,0.34034851848586556,-0.2190127900462655
3,2019-01,0.40361118444062555,-0.2371622863188793
3,2019-02,0.5418639000565066,0.2061323536942349
3,2019-03,0.57665672580987,0.5050014008514708
3,2019-04,0.5461790050475996,0.5269057795510447
3,2019-05,0.5287330968049826,0.6467147284604678
3,2019-06,0.5239531338575794,0.686394032071445
3,2019-07,0.49936848776536413,0.5844378087083691
3,2019-08,0.4422343597421676,-0.9562850077847378
3,2019-09,0.41527391331529856,0.3137769788337492
3,2019-10,0.4725474453037214,0.1571149932600653
3,2019-11,0.47315401603150425,0.4795126501270099
3,2019-12,0.4842292346526734,0.037687263891751
3,2020-01,0.4322889665561267,-0.2300545345352672
3,2020-02,0.3994122471970102,-0.4435035909678552
3,2020-03,0.4535995420227896,-0.223408407458292
3,2020-04,0.45408398914057524,-0.3142418268744611
3,2020-05,0.42516694423165813,-0.2112324369079546
3,2020-06,0.3922015567463403,-0.3046177596062399
3,2020-07,0.37122940707689095,-0.4861892405463233
3,2020-08,0.33890470020848484,-0.4325077659117994
3,2020-09,0.3071580289480337,-0.4734196719661649
3,2020-10,0.2792964708859734,-0.3937870835192251
3,2020-11,0.2695321085096504,-0.3789337070622232
3,2020-12,0.2653270327646518,-0.1507675175504414
3,2021-01,0.2732256733448699,-0.044394969911754
3,2021-02,0.3374945464867204,0.3449234574815413
3,2021-03,0.4532767682986014,0.1373343922458589
3,2021-04,0.5401813318404762,0.1488225607634692
3,2021-05,0.5216490945631027,0.1162818780631742
3,2021-06,0.5183687828479508,-0.1552305364589712
3,2021-07,0.5069966415715179,-0.1292321815845918
3,2021-08,0.4726441492007476,-0.1079220135320083
3,2021-09,0.4060323953914651,-0.2040618353382618
3,2021-10,0.3694474935774978,-0.0524399212986672
3,2021-11,0.33990857807632135,-0.2129796858024166
3,2021-12,0.34001627353341196,-0.0947338784291641
3,2022-01,0.40998055313676435,0.1448243388151991
3,2022-02,0.5258669997736158,0.1437999322496586
4,2018-08,0.3634638222483073,-0.1300940834161849
4,2018-09,0.34752177224666436,-0.4248310376289406
4,2018-10,0.370816262886598,-0.3026144257142973
4,2018-11,0.38511077588093245,-0.4747979755193124
4,2018-12,0.34936585476269,-0.2228023040960787
4,2019-01,0.39250408024167915,-0.0737834080393609
4,2019-02,0.5056009097890207,0.2985054351040456
4,2019-03,0.5276735408588309,0.6505842475096822
4,2019-04,0.4925126092630778,0.5666270019956772
4,2019-05,0.4916949809347213,0.5233315454863017
4,2019-06,0.5245814917779867,0.4674341766134885
4,2019-07,0.5141180662350157,0.4119699706490781
4,2019-08,0.44950721833403545,0.2399394785081998
4,2019-09,0.4111595970988829,-0.0845612994126993
4,2019-10,0.43234643482612,-0.2495257115101286
4,2019-11,0.43901927706083277,0.0145144170324352
4,2019-12,0.4442405692052702,-0.2705142295436137
4,2020-01,0.380610408549544,-0.4246170590459958
4,2020-02,0.3564230204342276,-0.3697669846936894
4,2020-03,0.45438450283211573,-0.1743873509496995
4,2020-04,0.4604837871910047,-0.089695570721574
4,2020-05,0.4170383378012297,-0.1771959248419467
4,2020-06,0.39262739490272525,-0.0081460562847175
4,2020-07,0.37614955865572197,-0.0500396411613126
4,2020-08,0.35837643347833315,-0.2467459699413304
4,2020-09,0.3119836582829315,-0.2465619390359313
4,2020-10,0.27148288686530625,-0.4666699897332236
4,2020-11,0.2577866380399091,-0.4986222150696812
4,2020-12,0.25392851738729927,-0.4054914113627548
4,2021-01,0.2624998636874877,-0.2401584071816352
4,2021-02,0.3795256833589351,0.0453577516170623
4,2021-03,0.5008338270035732,0.2241637916790809
4,2021-04,0.540320706497083,0.4374877332638919
4,2021-05,0.48391097345299094,0.5129205415982343
4,2021-06,0.4574760423357983,0.3388362231413093
4,2021-07,0.4362386766666063,0.1461759795167813
4,2021-08,0.41644202488728593,-0.1150742665996304
4,2021-09,0.3564137892955317,-0.8262011151435698
4,2021-10,0.324291368897836,-0.0743855482748528
4,2021-11,0.3173254971124312,0.0264915226705999
4,2021-12,0.30418987422445265,0.2228109094741021
4,2022-01,0.3941220595055899,0.2862878082243118
4,2022-02,0.5120661873377819,0.3502152355605208
5,2018-07,0.38739743476292254,0.0315706067512858
5,2018-08,0.35274253580458315,-0.3057850611341418
5,2018-09,0.34414920742452215,-0.4633655096589765
5,2018-10,0.3738883454610522,-0.6808587016951065
5,2018-11,0.4204633925093644,-0.6684444568699803
5,2018-12,0.3970261533422367,-0.5747104558786691
5,2019-01,0.4850735219861628,-0.0827953498538621
5,2019-02,0.5774442040346879,0.4288357972380101
5,2019-03,0.5967053488637437,0.754663573097789
5,2019-04,0.5600084435071466,0.5771849417325171
5,2019-05,0.5586989192291845,0.5816025573755944
5,2019-06,0.5728424037471521,0.3503673927168476
5,2019-07,0.5441651800628013,0.3866832785713106
5,2019-09,0.4298065001126937,-0.0464976060739741
5,2019-10,0.4552229447559956,-0.3021934576273746
5,2019-11,0.47911245319777107,-0.1240675466087356
5,2019-12,0.4944690964034262,-0.3979483227849264
5,2020-01,0.45116448257316444,-0.3457038565900775
5,2020-02,0.4088653627755881,-0.2792439264634413
5,2020-03,0.4771768457166493,-0.1422794435496973
5,2020-04,0.4796351382817724,-0.0877819841508489
5,2020-05,0.4418475572632836,-0.400515845910515
5,2020-06,0.4091763908618239,-0.6284955693407268
5,2020-07,0.3877817660581258,-0.651068199162025
5,2020-08,0.3559028519554835,-0.6501612902335706
5,2020-09,0.3154502842570216,-0.8477793796470701
5,2020-10,0.2831763598686853,-0.5862525796166247
