YearMonth,mean_d6_ndvi,PC1_Score
2018-08,0.350423786532385,-0.19514382293791313
2018-09,0.321446461579086,-0.2831839139588483
2018-10,0.336402801767275,-0.39966892673652804
2018-11,0.374154654851689,-0.24260639056746305
2018-12,0.340348518485866,-0.21901279004626556
2019-01,0.4036111844406255,-0.23716228631887934
2019-02,0.541863900056507,0.20613235369423494
2019-03,0.57665672580987,0.5050014008514708
2019-04,0.5461790050475994,0.5269057795510447
2019-05,0.5287330968049826,0.6467147284604678
2019-06,0.5239531338575796,0.686394032071445
2019-07,0.499368487765364,0.5844378087083691
2019-08,0.4422343597421675,-0.9562850077847378
2019-09,0.393921188236852,0.3137769788337492
2019-10,0.454587041848733,0.1571149932600653
2019-11,0.473154016031504,0.47951265012700994
2019-12,0.484229234652673,0.037687263891751
2020-01,0.432288966556127,-0.23005453453526722
2020-02,0.3994122471970099,-0.44350359096785524
2020-03,0.45359954202279,-0.223408407458292
2020-04,0.454083989140575,-0.31424182687446117
2020-05,0.4251669442316584,-0.2112324369079546
2020-06,0.3922015567463405,-0.30461775960623994
2020-07,0.371229407076891,-0.4861892405463233
2020-08,0.3389047002084845,-0.43250776591179946
2020-09,0.3071580289480335,-0.4734196719661649
2020-10,0.288015099206349,-0.39378708351922515
2020-11,0.270054975537624,-0.3789337070622232
2020-12,0.2653270327646515,-0.15076751755044143
2021-01,0.27322567334487,-0.044394969911754026
2021-02,0.3374945464867199,0.34492345748154135
2021-03,0.4532767682986015,0.13733439224585894
2021-04,0.540181331840476,0.14882256076346925
2021-05,0.5216490945631025,0.1162818780631742
2021-06,0.518368782847951,-0.15523053645897122
2021-07,0.5069966415715179,-0.1292321815845918
2021-08,0.472644149200748,-0.10792201353200838
2021-09,0.429595625872499,-0.2040618353382618
2021-10,0.3759583292439645,-0.05243992129866728
2021-11,0.3399085780763214,-0.2129796858024166
2021-12,0.340016273533412,-0.09473387842916413
2022-01,0.4099805531367645,0.14482433881519918
2022-02,0.5258669997736161,0.14379993224965862
