date,evi
2000-02-18,0.227861348973607
2000-03-05,0.216367908413087
2000-03-21,0.224718254078542
2000-04-06,0.211868578102839
2000-04-22,0.205500702341137
2000-05-08,0.215387616340634
2000-05-24,0.213385496268241
2000-06-09,0.201771785883204
2000-06-25,0.195006885951429
2000-07-11,0.196255757710847
2000-07-27,0.197666093249826
2000-08-12,0.183635484766851
2000-08-28,0.187009933774835
2000-09-13,0.175514166364978
2000-09-29,0.167808418622761
2000-10-15,0.162849727459814
2000-10-31,0.166408747951218
2000-11-16,0.177838711830469
2000-12-02,0.232072774548791
2000-12-18,0.254365990357013
2001-01-01,0.3051261792781
2001-01-17,0.270011704855884
2001-02-02,0.262464985807313
2001-02-18,0.267683239213286
2001-03-06,0.307340203548189
2001-03-22,0.305558801466912
2001-04-07,0.314167663770054
2001-04-23,0.299988055462746
2001-05-09,0.289777472038284
2001-05-25,0.260427726968548
2001-06-10,0.233180180431808
2001-06-26,0.22776846569437
2001-07-12,0.214151650063999
2001-07-28,0.204961811811811
2001-08-13,0.194846598696306
2001-08-29,0.184723110307414
2001-09-14,0.177913510118632
2001-09-30,0.179181641276549
2001-10-16,0.175485934977454
2001-11-01,0.183525708236999
2001-11-17,0.194053384546871
2001-12-03,0.191654415978191
2001-12-19,0.23642172871822
2002-01-01,0.302065805716192
2002-01-17,0.281637292525343
2002-02-02,0.335533874606579
2002-02-18,0.366143060310039
2002-03-06,0.306391657165106
2002-03-22,0.279304939990532
2002-04-07,0.261250256980136
2002-04-23,0.245751063829787
2002-05-09,0.226779311015419
2002-05-25,0.220251883751945
2002-06-10,0.221758287277397
2002-06-26,0.211129852159144
2002-07-12,0.205020978185355
2002-07-28,0.198273743529805
2002-08-13,0.186848617305977
2002-08-29,0.179144148003895
2002-09-14,0.188015187508714
2002-09-30,0.180905125851759
2002-10-16,0.180101923558723
2002-11-01,0.201278047016274
2002-11-17,0.211450204490443
2002-12-03,0.238801818131272
2002-12-19,0.231440778996604
2003-01-01,0.2175906115178
2003-01-17,0.244000411912052
2003-02-02,0.247044120753878
2003-02-18,0.230354327230295
2003-03-06,0.342241196742725
2003-03-22,0.279167374264275
2003-04-07,0.288271000752865
2003-04-23,0.302957870280197
2003-05-09,0.260992561638111
2003-05-25,0.236540385575589
2003-06-10,0.231117051114388
2003-06-26,0.212852658953107
2003-07-12,0.208626324738676
2003-07-28,0.214701231102712
2003-08-13,0.18600753887668
2003-08-29,0.17974646885592
2003-09-14,0.189766601763512
2003-09-30,0.17251724032303
2003-10-16,0.171543870429584
2003-11-01,0.168795872927407
2003-11-17,0.181971135369963
2003-12-03,0.185992234848485
2003-12-19,0.250339645332815
2004-01-01,0.235608459912091
2004-01-17,0.21775121055268
2004-02-02,0.235088524453347
2004-02-18,0.252086151489836
2004-03-05,0.268045389518216
2004-03-21,0.246790708604483
2004-04-06,0.239756971911522
2004-04-22,0.246830279749478
2004-05-08,0.242789992490196
2004-05-24,0.242413496966661
2004-06-09,0.239515011991744
2004-06-25,0.221038921254355
2004-07-11,0.220552816431036
2004-07-27,0.215182718111464
2004-08-12,0.196411279639319
2004-08-28,0.187587971560017
2004-09-13,0.188861584026252
2004-09-29,0.188723534645757
2004-10-15,0.171602252854358
2004-10-31,0.170713935613234
