c3_evi_time,c3_mean_evi
730534,0.251909905282818
730550,0.238136499375123
730566,0.235220525516604
730582,0.218223765899954
730598,0.209636295559974
730614,0.220418762845588
730630,0.240369421705835
730646,0.231201622156281
730662,0.249056982279821
730678,0.24835511540242
730694,0.262614326344335
730710,0.247291752032251
730726,0.242972933474408
730742,0.220587976947536
730758,0.203133483354292
730774,0.192528585565378
730790,0.207315128222119
730806,0.205862747311114
730822,0.211587206300881
730838,0.261657570748479
730852,0.323117470078688
730868,0.296576381115428
730884,0.275034689011062
730900,0.2882061247437
730916,0.29871882663151
730932,0.297475467816854
730948,0.343644907284768
730964,0.348066296222796
730980,0.349370540540539
730996,0.323137295109164
731012,0.28462287429143
731028,0.279736230913475
731044,0.253474332079953
731060,0.252024166391548
731076,0.238458766770207
731092,0.216072654439515
731108,0.201415678106196
731124,0.204262430352878
731140,0.19503423143122
731156,0.201277725805389
731172,0.209037851949769
731188,0.207717004875477
731204,0.24869802622864
731217,0.3425653388036
731233,0.327410306683447
731249,0.349202870972019
731265,0.394772815791217
731281,0.328969089826697
731297,0.274601194822436
731313,0.274453346118238
731329,0.271218065537021
731345,0.256855862707493
731361,0.260975758775403
731377,0.265542874117103
731393,0.263373771250909
731409,0.251745353159851
731425,0.238758102740633
731441,0.220914929223442
731457,0.203244681977629
731473,0.207750225464191
731489,0.191859729372938
731505,0.190258699973496
731521,0.227922772998015
731537,0.245770394345729
731553,0.272765747460087
731569,0.256168027842227
731582,0.23774089106293
731598,0.256859307244844
731614,0.256761193635703
731630,0.240666160376733
731646,0.316831873928524
731662,0.253774174551711
731678,0.270175140868413
731694,0.294534113292352
731710,0.264186580115255
731726,0.243016054376658
731742,0.243058224491149
731758,0.219005722752717
731774,0.220894405225309
731790,0.220647005612414
731806,0.191181731721815
731822,0.191172984403912
731838,0.206625866066106
731854,0.185709001918116
731870,0.185422161695343
731886,0.178891321603387
731902,0.178755092592593
731918,0.200310305798253
731934,0.294046832669322
731947,0.2365230901401
731963,0.218630429034177
731979,0.265391005291006
731995,0.273306644121743
732011,0.282517165417026
732027,0.281315550713154
732043,0.27716030589949
732059,0.299139314769496
732075,0.274157895779671
732091,0.27658893659181
732107,0.270165442005438
732123,0.250329567689054
732139,0.257967724412057
732155,0.255802020804347
732171,0.230389998678821
732187,0.22447566120074
732203,0.216325908006363
732219,0.209401474185232
732235,0.192397729522804
732251,0.19049702243102
732267,0.180754770714946
732283,0.189989478904907
732299,0.225409844080339
732313,0.241495826167483
732329,0.264461470257394
732345,0.307179486335199
732361,0.330148583906829
732377,0.355546646825396
732393,0.384701476625612
732409,0.3728069074403
732425,0.395948287648721
732441,0.381029447123324
732457,0.364601565205808
732473,0.350327694136292
732489,0.3000134472708
732505,0.312340676277154
732521,0.316858474240423
732537,0.282892415116818
732553,0.253223481138319
732569,0.252482156772106
732585,0.221249216943105
732601,0.213971819934836
732617,0.210635976214074
732633,0.224295814876033
732649,0.276420549668874
732665,0.27415537485125
732678,0.256702613643883
732694,0.287200580245285
732710,0.311988348348348
732726,0.314969382244468
732742,0.326807642007925
732758,0.267580186187772
732774,0.268666575870316
732790,0.265357091964639
732806,0.263876985904361
732822,0.265842369411609
732838,0.262141777249621
732854,0.263277449620086
732870,0.25894837258534
732886,0.236647328395715
732902,0.216461937145121
732918,0.236652747544465
732934,0.23820900805706
732950,0.227360242792109
732966,0.213212245706737
732982,0.206975452316257
732998,0.197867591616135
733014,0.201838176075799
733030,0.218895249359353
733043,0.243889474382798
733059,0.314818863185723
733075,0.264936016109864
733091,0.3458686107816
733107,0.361824315000332
733123,0.3168538354531
733139,0.289023379200847
