evi_time,c1_mean_evi
730534,0.231630515648655
730550,0.22900055516146
730566,0.220854865730475
730582,0.21093721475992
730598,0.203148332562086
730614,0.21182425915076
730630,0.211533602539996
730646,0.198100409079725
730662,0.186969902195977
730678,0.184529825477786
730694,0.179792052816684
730710,0.161910626963109
730726,0.169172269658765
730742,0.162155718863623
730758,0.158850032318631
730774,0.156570110837439
730790,0.156280029531192
730806,0.184802919145526
730822,0.254803205049262
730838,0.294223878481637
730852,0.352344560959813
730868,0.304903929497469
730884,0.283597503005641
730900,0.292672094384376
730916,0.300343963819837
730932,0.304359422609338
730948,0.303545297516597
730964,0.284824142194745
730980,0.261529026303646
730996,0.241898620305636
731012,0.216500487323423
731028,0.2065241764343
731044,0.202152117614492
731060,0.187813430395755
731076,0.180642176598949
731092,0.175102211831298
731108,0.172243112095757
731124,0.177397865403543
731140,0.190289818607373
731156,0.198145648685348
731172,0.22969053121341
731188,0.212523060609786
731204,0.277844968282318
731217,0.313792402299911
731233,0.277111594963274
731249,0.312047286034997
731265,0.352019234561815
731281,0.328554611605772
731297,0.280308468401716
731313,0.266390778133465
731329,0.244206581257122
731345,0.224440323475046
731361,0.212460671087371
731377,0.212029668336766
731393,0.196361318492098
731409,0.190111068361599
731425,0.186562719891745
731441,0.179112605844135
731457,0.176708194950306
731473,0.181242465584676
731489,0.174042735805509
731505,0.177753780063438
731521,0.181306967869014
731537,0.197355598978368
731553,0.229135781538462
731569,0.24684136169165
731582,0.237381489584617
731598,0.240491234066138
731614,0.271631821552151
731630,0.248369350905893
731646,0.378955573659616
731662,0.317595958074629
731678,0.312177395343115
731694,0.29897515020798
731710,0.262855603103257
731726,0.235413119542492
731742,0.230567699756376
731758,0.219228239100293
731774,0.208151788682963
731790,0.207756357483465
731806,0.192526807433476
731822,0.177459575057737
731838,0.188658025413039
731854,0.168095619293554
731870,0.16347864448552
731886,0.160350403275459
731902,0.192623268058378
731918,0.227847892177981
731934,0.289771533296372
731947,0.258588926226223
731963,0.244426306217441
731979,0.237653966982875
731995,0.281230191929134
732011,0.300751222595665
732027,0.254190974896042
732043,0.25134921749846
732059,0.246387288842222
732075,0.23168877202694
732091,0.230284997697621
732107,0.224078830452598
732123,0.205075632580188
732139,0.197328474534467
732155,0.183000381210034
732171,0.173944359140382
732187,0.165326637110926
732203,0.168541129230769
732219,0.167594201918347
732235,0.170091294999386
732251,0.189244688859409
732267,0.181062317549089
732283,0.202225728797906
732299,0.225130841409013
732313,0.248301931251156
732329,0.291138492051289
732345,0.301681367647966
732361,0.309139727040266
732377,0.326025416679503
732393,0.345441144851872
732409,0.324519115022464
732425,0.314972397549186
732441,0.294843617185332
732457,0.262349015614392
732473,0.273894544445814
732489,0.23546137427621
732505,0.239627386965627
732521,0.207871406168322
732537,0.207013312368972
732553,0.19512318996526
732569,0.179566611351833
732585,0.172167134779669
732601,0.182885258166815
732617,0.180995149219255
732633,0.238154702430331
732649,0.277968086090469
732665,0.279168749421457
732678,0.275143909068446
732694,0.348239918558737
732710,0.365306725119213
732726,0.353577222598732
732742,0.327875082371055
732758,0.291674123930964
732774,0.261767265389118
732790,0.259892436845348
732806,0.238153970801568
732822,0.245061676609878
732838,0.240646736188015
732854,0.238552609391347
732870,0.233544581204998
732886,0.211949174978451
732902,0.202254666543335
732918,0.204474179747615
732934,0.202896138461539
732950,0.192775255416052
732966,0.18625770332276
732982,0.180254888074638
732998,0.175984923599321
733014,0.23662495378928
733030,0.247823755955125
733043,0.292374305149436
733059,0.33037936620369
733075,0.345088635943565
733091,0.3597273683563
733107,0.396762743708996
733123,0.325591134904962
733139,0.314241440915101
733155,0.304619415532426
733171,0.30359071494607
733187,0.285838950965002
733203,0.269954621952347
733219,0.279996505500601
733235,0.248542973429581
733251,0.226255033038968
733267,0.21949789891408
733283,0.198835656431893
733299,0.189409338748884
733315,0.182925059159778
733331,0.195230128126155
733347,0.21500916248885
733363,0.228000384899618
733379,0.251762059937783
733395,0.258836959990182
733408,0.287994158245009
733424,0.316925808040386
733440,0.279400107579763
733456,0.324586546822486
733472,0.364572623820391
733488,0.344583701308698
733504,0.341854922423347
733520,0.32959219805873
733536,0.297666534525675
733552,0.283861896408457
733568,0.275050201718457
733584,0.252178912882983
733600,0.235403668879056
733616,0.21356752102523
733632,0.194865386153231
733648,0.182858742420978
733664,0.201967902986917
733680,0.181824665864123
733696,0.175777668825162
733712,0.183513396540048
733728,0.187176730413325
733744,0.19781125941873
733760,0.203258967433009
733774,0.219173660700533
733790,0.30662771414496
733806,0.277394314401873
733822,0.245726983098939
733838,0.279626369399311
733854,0.327470124788169
733870,0.350855848521294
733886,0.325289209787404
733902,0.328941109605076
733918,0.303749066527236
733934,0.26689912788906
733950,0.278338208505138
733966,0.248405078809107
733982,0.228958896385987
733998,0.241333739837398
734014,0.228648077513667
734030,0.198498708685626
734046,0.198633872408588
734062,0.173451034948713
734078,0.190849527561479
734094,0.175732353849003
734110,0.182509834955044
734126,0.178262174046741
734139,0.169396789019124
734155,0.168613030190776
734171,0.182871462807632
734187,0.178236290868789
734203,0.22824478093774
734219,0.226432238622386
734235,0.228731411205727
734251,0.198433315856028
734267,0.191283392291366
734283,0.230393264008887
734299,0.267307668193134
734315,0.286892965720968
734331,0.275665466564181
734347,0.257893938835101
734363,0.235432497764623
734379,0.215528634279913
734395,0.200464075042288
734411,0.184164517814873
734427,0.186110533621222
734443,0.175099679269722
734459,0.193762140309886
734475,0.223893777914677
734491,0.294041180641184
734504,0.303881457484882
734520,0.259463986197122
734536,0.349565530010801
734552,0.365721697560374
734568,0.360985834052522
734584,0.351709966982442
734600,0.311936367834493
734616,0.363716222290641
734632,0.363776165835027
734648,0.337833996121764
734664,0.317197271466009
734680,0.316787155228203
734696,0.302211901534291
734712,0.271700516478111
734728,0.27182331641286
734744,0.290503352505153
734760,0.300354597188471
734776,0.280927858045039
734792,0.269963751962807
734808,0.240858371333497
734824,0.224357613206677
734840,0.228396682974861
734856,0.300370730427265
734869,0.326784698847173
734885,0.311653113541827
734901,0.293248683320003
734917,0.302940359628056
734933,0.282030496541502
734949,0.31269372
734965,0.34201760182109
734981,0.364057369230769
734997,0.32113239688812
735013,0.300219414844473
735029,0.277984761728852
735045,0.246808417135652
735061,0.227584055961296
735077,0.218352993744415
735093,0.210575291834786
735109,0.195252731254434
735125,0.198089854938557
735141,0.186845860304544
735157,0.186873885997598
735173,0.192683839599926
735189,0.197272591795975
735205,0.199625540619521
735221,0.295187864615385
735235,0.281050626040832
735251,0.347757246242917
735267,0.412848229378741
735283,0.381047835717583
735299,0.358455163797889
735315,0.319177928509907
735331,0.305289341615671
735347,0.274255091351635
735363,0.249797289981236
735379,0.237457092220441
735395,0.224224290850979
735411,0.213965288798671
735427,0.206569584743156
735443,0.196892168137511
735459,0.183710728075866
735475,0.187615136652477
735491,0.176284249569072
735507,0.166394194083495
735523,0.174288581282912
735539,0.200062940398165
735555,0.21502300151062
735571,0.207831399495788
735587,0.184539330170076
735600,0.21370622264686
735616,0.341419106455092
735632,0.364061296290587
735648,0.339196386914105
735664,0.354859919327524
735680,0.313750861723447
735696,0.283011740853378
735712,0.258426683261116
735728,0.247199067921742
735744,0.240738494484502
735760,0.225863151414412
735776,0.217855362737269
735792,0.207943624553627
735808,0.209515860306119
735824,0.18547879786808
735840,0.182755682482988
735856,0.171509251616877
735872,0.171409229539445
735888,0.167515745558668
735904,0.167626183947004
735920,0.159121941550659
735936,0.210241037953643
735952,0.222558843076923
735965,0.209644487498847
735981,0.244686701177052
735997,0.316922979129471
736013,0.344316464258263
736029,0.332130578029348
736045,0.321831524523877
736061,0.285713389082606
736077,0.294501933037365
736093,0.27867988348078
736109,0.259317095673032
736125,0.252055344944304
736141,0.236055722158933
736157,0.213533087262772
736173,0.223342611314261
736189,0.196463333333333
736205,0.187483450292398
736221,0.17994907709346
736237,0.175114404644876
736253,0.180153757225433
736269,0.223590366802519
736285,0.21021064747758
736301,0.197807168998924
736317,0.21187199433358
736330,0.203313308886971
736346,0.214865631840183
736362,0.217919096218874
736378,0.230720851679651
736394,0.235729072063179
736410,0.285669883789033
736426,0.260007954755594
736442,0.226498462723352
736458,0.216641950273863
736474,0.212178312621419
736490,0.202327409592282
736506,0.196472751110563
736522,0.194742315640132
736538,0.182262303503861
736554,0.173254361466535
736570,0.165969980920729
736586,0.157264623861118
736602,0.159601932248238
736618,0.162072632260452
736634,0.154562985369468
736650,0.153320140515222
736666,0.177758793737068
736682,0.206932504850781
736696,0.289454911388505
736712,0.310964322892605
736728,0.31401237484982
736744,0.317085824544141
736760,0.319853883524999
736776,0.323949441108545
736792,0.298155489138808
736808,0.255215900135452
736824,0.242113165024631
736840,0.229989421742483
736856,0.233465451581149
736872,0.225775669773308
736888,0.208789707058896
736904,0.200406152379781
736920,0.184548516649228
736936,0.178320159086023
736952,0.16917935975891
736968,0.165266735340242
736984,0.162271440897325
737000,0.163117544400591
737016,0.161421474339228
737032,0.162186313492917
737048,0.190624491308241
737061,0.206206396120942
737077,0.192978590568886
737093,0.211476694993534
737109,0.192227133310751
737125,0.185274201678089
737141,0.183410808565627
737157,0.187009529683886
737173,0.185216124064435
